,Coin,Cycle,Future,CycleLength,pnl,carryPnl,basisPnl,pnlSellCarry,carryPnlSell
23,XRPUSD,20201225,20210326,24.333333333333332,-6.196069761173945,-1.2914899950553793,-4.904579766118566,-6.373686706091046,-1.4691069399724803
24,BNBUSD,20201225,20201225,50.333333333333336,4.6626136662135425,4.173984486482803,0.48862917973073916,4.407614679221179,3.9189854994904403
25,BNBUSD,20201225,20210326,50.333333333333336,5.34063537850947,4.173984486482803,1.166650892026666,5.085636391517106,3.9189854994904403
26,BTCUSD,20210326,20210326,91.33333333333333,11.556967254665427,15.745284883475149,-4.188317628809721,8.49075496214412,12.67907259095384
27,BTCUSD,20210326,20210625,91.0,13.736374679172862,15.656577736079722,-1.9202030569068604,10.718542507680551,12.638745564587412
28,ETHUSD,20210326,20210326,91.33333333333333,13.538459563173785,16.238886831596506,-2.7004272684227217,11.155347213637793,13.855774482060514
29,ETHUSD,20210326,20210625,91.0,15.445418394145538,16.21261652715141,-0.7671981330058735,13.078573917384572,13.845772050390446
30,LTCUSD,20210326,20210326,91.33333333333333,9.075886968791753,13.032029821346692,-3.9561428525549376,8.833151150015269,12.789294002570207
31,LTCUSD,20210326,20210625,91.0,11.662950672402665,13.013685513654384,-1.350734841251719,11.426877477903634,12.777612319155354
32,BCHUSD,20210326,20210326,91.33333333333333,6.951102350256909,9.30689198363152,-2.3557896333746102,7.646730012107802,10.002519645482412
33,BCHUSD,20210326,20210625,91.0,9.97241517682164,9.291230156412892,0.6811850204087482,10.67369256727106,9.992507546862312
34,ADAUSD,20210326,20210326,91.33333333333333,19.30909443715053,19.383673401791054,-0.0745789646405215,11.470449082278092,11.545028046918613
35,ADAUSD,20210326,20210625,91.0,22.744619350749574,19.3108107939975,3.4338085567520737,14.968836603670688,11.535028046918613
36,LINKUSD,20210326,20210326,91.33333333333333,9.725579060538514,10.64757014059661,-0.9219910800580946,6.701539739838786,7.623530819896881
37,LINKUSD,20210326,20210625,91.0,14.606596230208545,10.624659131503293,3.9819370987052514,11.595466682617317,7.613529583912065
38,DOTUSD,20210326,20210326,91.33333333333333,19.574044356911482,23.235174759206632,-3.66113040229515,10.965313289480108,14.626443691775258
39,DOTUSD,20210326,20210625,91.0,21.313721430019797,23.17578364895818,-1.8620622189383838,12.754383219731286,14.61644543866967
40,XRPUSD,20210326,20210326,91.33333333333333,14.901360841072602,11.715919716767043,3.185441124305558,13.890441324403358,10.705000200097802
41,XRPUSD,20210326,20210625,91.0,17.55890812385975,11.736140539144662,5.822767584715091,16.54084927292478,10.71808168820969
42,BNBUSD,20210326,20210326,91.33333333333333,40.36955384891884,42.37004880837526,-2.000494959456418,12.582063547720335,14.582558507176753
43,BNBUSD,20210326,20210625,91.0,44.344994913491306,42.37004880837526,1.9749461051160502,16.557504612292803,14.582558507176753
44,BTCUSD,20210625,20210625,12.333333333333334,3.5219369765389823,1.9199788380229037,1.6019581385160788,3.546255361124671,1.9442972226085924
45,BTCUSD,20210625,20210924,12.0,4.275989709398093,1.9091826991323502,2.3668070102657435,4.301108658896273,1.9343016486305296
46,ETHUSD,20210625,20210625,12.333333333333334,3.9917664321098423,2.2124020943153186,1.7793643377945236,3.85129523917402,2.0719309013794964
47,ETHUSD,20210625,20210924,12.0,5.0805515588539105,2.1995493222716735,2.8810022365822374,4.94293965029831,2.0619374137160733
48,LTCUSD,20210625,20210625,12.333333333333334,5.647541135791611,3.0928533450213123,2.5546877907702994,5.25782740483799,2.7031396140676907
49,LTCUSD,20210625,20210924,12.0,6.3537225094870475,3.070561347966987,3.2831611615200607,5.9694228774401275,2.6862617159200664
50,BCHUSD,20210625,20210625,12.333333333333334,4.858500732125648,2.1426745907994023,2.715826141326246,4.5432058487580065,1.8273797074317601
51,BCHUSD,20210625,20210924,12.0,5.336377496488298,2.128994316832556,3.2073831796557424,5.024770450589404,1.8173872709336614
52,ADAUSD,20210625,20210625,12.333333333333334,3.849912895903021,2.9691405293496684,0.8807723665533527,3.7556806935687934,2.8749083270154405
53,ADAUSD,20210625,20210924,12.0,5.543112561344927,2.9582367766795494,2.584875784665378,5.4497936054351594,2.864917820769781
54,LINKUSD,20210625,20210625,12.333333333333334,4.025620496456291,2.8187260273578674,1.2068944690984236,3.6665661945431385,2.459671725444715
55,LINKUSD,20210625,20210924,12.0,3.661856003658561,2.7624251792032295,0.8994308244553311,3.3168265160995327,2.4173956916442014
56,DOTUSD,20210625,20210625,12.333333333333334,4.710118355455572,2.49638156904421,2.2137367864113626,4.5398353029713725,2.32609851656001
57,DOTUSD,20210625,20210924,12.0,6.311855830955578,2.4827119606958457,3.8291438702597316,6.145247765588101,2.316103895328369
58,XRPUSD,20210625,20210625,12.333333333333334,6.4876663370182115,4.080229198899814,2.4074371381183974,4.86238897162843,2.454951833510033
59,XRPUSD,20210625,20210924,12.0,8.558183650511673,4.060653691762324,4.4975299587493485,6.9424951280970975,2.444965169347749
60,BNBUSD,20210625,20210625,12.333333333333334,4.218799779974636,2.129528775684767,2.0892710042898686,3.875568556712949,1.7862975524230802
61,BNBUSD,20210625,20210924,12.0,4.0098160769008135,2.129528775684767,1.8802873012160468,3.666584853639127,1.7862975524230802
